gymId,location,address,city,state,zipcode,phoneNumber,gymType,website,pool,groupFitness,onlineEnrollment,notes,latitude,longitude,domainId,cardio,strength,aquatic,specialty,personalFitnessPlan,mindAndBody,distance,solrLocation
13308,Chipola Fitness Center,4230 Lafayette Street,Marianna,FL,32446,850-482-6221,co-ed,www.chipolafitness.com,True,True,False,,30.7813632,-85.2435971,0,True,True,False,True,False,True,26.424339294433594,"30.7813632,-85.2435971"
13310,Bend the Bar Fitness,16767 US HWY 331 South,Freeport,FL,32439,850-520-0251,co-ed,www.bendthebarfitness@gmail.com,False,True,False,,30.4822075,-86.1244725,0,True,True,False,False,False,False,42.55874252319336,"30.4822075,-86.1244725"
13445,The Fitness Center of Jay 24/7,4018 Florida Ave.,Jay,FL,32565,850-675-6920,co-ed,www.jayfitnesscenter.net,True,False,False,,30.9492665,-87.1455931,0,True,True,False,False,False,False,38.659610748291016,"30.9492665,-87.1455931"
10742,Snap Fitness,4576 Highway 20 East,Niceville,FL,32578,850-279-4994,co-ed,www.snapfitness.com/gyms,False,False,False,,30.4822433,-86.4145064,0,False,False,False,False,True,False,48.514930725097656,"30.4822433,-86.4145064"
13301,Anytime Fitness,6568 Caroline St,Milton,FL,32570,850.623.3348,co-ed,www.anytimefitness.com/gyms/3074/milton-fl-32570/,False,True,False,,30.6200054,-87.0491789,0,True,True,False,False,True,True,47.754539489746094,"30.6200054,-87.0491789"
13303,Bluewater Fitness,4591 HWY 20 East,Niceville,FL,32578,850-279-6767,co-ed,www.bluewaterfitness.net,False,True,False,,30.4804728,-86.4123987,0,True,True,False,True,False,True,48.65831756591797,"30.4804728,-86.4123987"
13477,Workout Anytime Niceville,1033 E John Sims Pkwy,Niceville,FL,32578,850-533-0555,co-ed,www.workoutanytime.com,False,False,False,,30.517115,-86.4717213,0,False,False,False,False,False,False,45.61335754394531,"30.517115,-86.4717213"
13016,Anytime Fitness,4805 US Hwy 90,Pace,FL,32571,850-995-2447,co-ed,www.anytimefitness.com/gyms/2740/pace-fl-32571/,False,False,False,,30.6033131,-87.1233357,0,False,False,False,False,False,False,37.278385162353516,"30.6033131,-87.1233357"
13017,Head to Toe Fitness and Salon,4140 Berryhill Road,Pace,FL,32571,850-995-7042,co-ed,headtotoefit.com,True,False,False,,30.6474315,-87.1500822,0,False,True,False,False,False,False,34.4211540222168,"30.6474315,-87.1500822"
13309,Anytime Fitness,312 East Nine Mile Rd,Pensacola,FL,32514,850-497-6644,co-ed,www.anytimefitness.com/gyms/3202/pensacola-fl-32514/,False,True,False,,30.5329975,-87.2606506,0,True,True,False,False,True,True,43.48674774169922,"30.5329975,-87.2606506"
13318,Anytime Fitness,470 US Hwy 29,Cantonment,FL,32533,850-937-7660,co-ed,www.anytimefitness.com/gyms/4203/cantonment-fl-32533/,False,True,False,,30.5974302,-87.3126949,0,True,True,False,True,True,True,40.196014404296875,"30.5974302,-87.3126949"
13319,Anytime Fitness,6301 N. 9th Ave.,Pensacola,FL,32504,850-969-1348,co-ed,www.anytimefitness.com/gyms/2457/pensacola-fl-32504/,False,True,False,,30.4881007,-87.1975353,0,True,True,False,False,False,False,45.72945785522461,"30.4881007,-87.1975353"
13415,World Gym Cantonment,110 Hwy 29 South,Cantonment,FL,32533,850-679-4810,co-ed,www.worldgym.com/cantonment,False,False,False,,30.610485,-87.3196559,0,False,False,False,False,False,False,39.5063591003418,"30.610485,-87.3196559"
