docId,clinicId,netCode,facilityName,facilityType,line1,line2,city,state,zip,proximity,phone,fax,email,website,amenities,classes,gender,acceptingNewMembers,enrolled,ashAcceptsFeeStatusSID,isActiveOptionsInstructor,doesNotParticipateInAllHealthPlans,activeOptionsInstructorClasses,displayExerciseClasses,minimumAge,hasGuestPass
1156176,357122,0,Body Renew - Alaska,Fitness Club,202 E Northern Lights Blvd,,Anchorage,AK,99503,1.50,9072450079,9076770325 ,businessaccounts@bodyrenewalaska.com,www.bodyrenewalaska.com,"Cardiovascular Equipment,Childcare,Cycling Classes,Locker Facilities,Personal Training,Strength Training Equipment,Tanning,Yoga,Zumba",,Coed,True,False,NoFeeRequired,False,False,,False,18 (or 10 with guardian),True
1271507,339718,0,Planet Fitness - Anchorage (Benson Blvd),Fitness Club,700 E Benson Blvd,Ste 1,Anchorage,AK,99503,1.61,9074444400,,benson@planetfitnesswest.com,www.planetfitness.com/gyms/anchorage-benson-blvd-ak,"Cardiovascular Equipment,Locker Facilities,Strength Training Equipment,Tanning",,Coed,True,False,NoFeeRequired,False,False,,False,16 (or 13 with guardian),True
1162038,312109,0,Anchorage Community YMCA,"Fitness Club
At least 1 Silver&Fit Exercise Class/Week",5353 Lake Otis Pkwy,,Anchorage,AK,99507,3.21,9075633211,9075635739 ,vickie@ymcaalaska.org,www.ymcaalaska.org,"Basketball,Cardiovascular Equipment,Childcare,Kickboxing,Locker Facilities,Personal Training,Pilates,Pool,Sauna,Strength Training Equipment,Yoga",,Coed,True,False,NoFeeRequired,False,False,,False,Information not available,True
1202151,422364,0,Anytime Fitness - Anchorage 8936 Lake Otis Pkwy - Club 2315,Fitness Club,8936 Lake Oris Pkwy,,Anchorage,AK,99507,3.75,9073392348,,AnchorageAK2@anytimefitness.com,https://www.anytimefitness.com/gyms/4023/anchorage-ak-99507/,"Cardiovascular Equipment,Locker Facilities,Personal Training,Strength Training Equipment",,Coed,True,False,NoFeeRequired,False,False,,False,Information not available,True
1066135,432770,0,Curves - 3648,Gender-Specific Fitness Center,535 W Parks Hwy,Ste 6,Wasilla,AK,99654,0.78,9073572878,9073572817 ,,https://www.curves.com/,"Cardiovascular Equipment,Strength Training Equipment",,Female Only,True,False,NoFeeRequired,False,False,,False,13 (or 13 with guardian),True
1170227,319487,0,Legacy YMCA,Fitness Club,1501 4th Ave SW,,Bessemer,AL,35022,1.93,2054261211,2054254814 ,mtalerico@legacyymca.org,,"Aquatics,Basketball,Cardiovascular Equipment,Childcare,Cycling Classes,Dance,Kickboxing,Locker Facilities,Massage Therapy,Personal Training,Pilates,Pool,Racquetball,Running/Walking Track,Sauna,Steam Room,Strength Training Equipment,Yoga,Zumba",,Coed,True,False,NoFeeRequired,False,False,,False,15 (or 1 with guardian),True
1105442,237566,0,Anytime Fitness - Mc Calla - Club 1680,Fitness Club,4955 McAdory School Rd,,McCalla,AL,35111,2.48,2054289115,,McCallaAL@anytimefitness.com,www.anytimefitness.com/gyms/337/McCalla-AL-35111,"Cardiovascular Equipment,Locker Facilities,Personal Training,Strength Training Equipment",,Coed,True,False,NoFeeRequired,False,False,,False,Information not available,True
1264061,415763,0,Planet Fitness - Bessemer,Fitness Club,528 W Town Plz,,Bessemer,AL,35020,3.46,2057746888,,bessemer@unitedpf.com,www.planetfitness.com/gyms/bessemer-al,"Locker Facilities,Strength Training Equipment,Tanning",,Coed,True,False,NoFeeRequired,False,False,,False,16 (or 13 with guardian),True
1203408,354261,0,Fit 24,Fitness Club,100 Hampton Dr,Ste E,Calera,AL,35040,0.47,2053197177,,info@fit24calera.com,www.fit24calera.com,"Cardiovascular Equipment,Childcare,Personal Training,Strength Training Equipment,Tanning",,Coed,True,False,NoFeeRequired,False,False,,False,Information not available,True
1099706,226948,0,Snap Fitness - Club 487,Fitness Club,301 Airport Dr,,Calera,AL,35040,3.08,2056202406,,calera@snapfitness.com,www.snapfitness.com,"Cardiovascular Equipment,Personal Training,Strength Training Equipment",,Coed,True,False,NoFeeRequired,False,False,,False,16 (or 14 with guardian),True
1188479,337180,0,Fit24,Fitness Club,136 Market Center Dr,,Alabaster,AL,35007,0.25,2054904550,2053583402 ,alabaster@fit24now.com,www.fit24now.com,"Cardiovascular Equipment,Childcare,Locker Facilities,Personal Training,Strength Training Equipment,Tanning",,Coed,True,False,NoFeeRequired,False,False,,False,Information not available,True
1226057,366288,0,Gym Time,Fitness Club,244 1st St SW,,Alabaster,AL,35007,0.37,2056244040,,gtalabaster@GymTime.fitness,www.gymtime.fitness,"Cardiovascular Equipment,Cycling Classes,Kickboxing,Locker Facilities,Personal Training,Pilates,Strength Training Equipment,Tanning,Yoga,Zumba",,Coed,True,False,NoFeeRequired,False,False,,False,19 (or 12 with guardian),True
1190240,340682,0,Birmingham YMCA - Alabaster,Fitness Club,117 Plaza Cir,,Alabaster,AL,35007,1.53,2056637240,,,https://www.ymcabham.org/alabaster,"Basketball,Cardiovascular Equipment,Childcare,Locker Facilities,Pool,Racquetball,Strength Training Equipment",,Coed,True,False,NoFeeRequired,False,False,,False,Information not available,True
1115345,249231,0,Snap Fitness - Club 1090,Fitness Club,2600 HIGHWAY 58,STE C,Helena,AL,35080,1.97,2056642600,,helenaal@snapfitness.com,www.snapfitness.com,"Cardiovascular Equipment,Dance,Personal Training,Strength Training Equipment,Yoga,Zumba",,Coed,True,False,NoFeeRequired,False,False,,False,16 (or 14 with guardian),True
