State,Company,Plans
Alabama,Aetna Medicare,1. Aetna Medicare MAPD*
Alabama,Blue Cross and Blue Shield of Alabama,1. Blue Advantage (PPO)
,,2. Blue Advantage Complete (PPO)
,,3. Blue Advantage Premier (PPO)
,,4. C Plus  Medicare Select
Alabama,Humana,1. Medicare Advantage and Medicare Supplement
Alabama,UnitedHealthcare®,1. AARP MedicareComplete Plan 1
,,2. AARP MedicareComplete Plan 2
,,3. UnitedHealthCare Dual Complete
,,4. AARP MedicareComplete Plan 1 (HMO)
,,5. AARP MedicareComplete Plan 2 (HMO)
,,6. UnitedHealthcare Dual Complete (HMO SNP)
Alaska,Humana,1. Medicare Supplement
Arizona,Aetna Medicare,1. Aetna Medicare MAPD*
Arizona,Amerigroup,"1. Medicare Supplement Plans A, F, G & N"
Arizona,Clover Health,1. Clover Health Choice (PPO)
Arizona,Colonial Penn Medicare Supplement Plan C,1. Medicare Supplement Plan C
Arizona,Humana,1. Medicare Advantage and Medicare Supplement
Arizona,WellCare,1. WellCare Value (HMO)
,,2. WellCare Liberty (DSNP)
Arkansas,AARP® Medicare Supplement Insurance Plan,1. AARP® Medicare Supplement Insurance Plan
Arkansas,Arkansas Blue Cross and Blue Shield,1. Medi-Pak Advantage (HMO)
,,2. Medi-Pak Advantage (PFFS)
Arkansas,Coventry Health Care,1. Coventry Medicare MAPD*
Arkansas,Humana,1. Medicare Advantage and Medicare Supplement
Arkansas,UnitedHealthcare®,1. AARP MedicareComplete Plan 1
,,2. AARP MedicareComplete Plan 2
,,3. AARP MedicareComplete Plan 3
,,4. AARP MedicareComplete Plan 4
California,Aetna Medicare,1. Aetna Medicare MAPD*
California,Anthem Blue Cross,1. Anthem Blue Cross Cal MediConnect Plan
,,2. Anthem MediBlue Coordination Plus (HMO)
,,3. Anthem MediBlue Access (PPO)
,,4. Anthem Value Plus (HMO)
,,5. Anthem Connect (HMO SNP)
,,6. Anthem Diabetes (HMO SNP)
,,7. Anthem Care on Site (HMO SNP)
,,8. Anthem Heart (HMO SNP)
,,9. Anthem Breathe (HMO SNP)
,,10. Anthem ESRD (HMO SNP)
,,11. Anthem MediBlue Dual Advantage (HMO SNP)
,,12. Anthem MediBlue Plus (HMO)
,,13. Anthem MediBlue Select (HMO)
,,14. Anthem StartSmart Plus (HMO POS)
,,"15. Medicare Supplement Plans A, F, Innovative F, G & N"
,,16. CalPERS PPO Supplement to Medicare Plan for
,,"17. PERS Select, PERS Choice, and PERSCare plans"
California,Blue Shield of California,1. Blue Shield Medicare Supplement plans
,,2. Blue Shield Trio Medicare
,,3. Blue Shield 65+
,,4. Blue Shield 65+ Choice
California,Care1st Health Plan,1. AdvantageOptimum PlanCoordinated Choice Plan
,,2. Total Dual Plan
California,Humana,1. Medicare Advantage and Medicare Supplement
California,L.A. Care,1. L.A. Care Cal MediConnect Plan (MMP)
California,SCAN Health Plan,1. SCAN Health Plan
California,UnitedHealthcare®,1. AARP MedicareComplete SecureHorizons (HMO)
Colorado,AARP® Medicare Supplement Insurance Plan,1. AARP® Medicare Supplement Insurance Plan
Colorado,Aetna Medicare,1. Aetna Medicare MAPD*
Colorado,Anthem Blue Cross and Blue Shield,1. Anthem MediBlue Dual Advantage (HMO SNP)
,,2. Anthem MediBlue Plus (HMO)
,,3. Anthem MediBlue Access (PPO)
,,"4. Medicare Supplement Plans A, F, G & N"
Colorado,Humana,1. Medicare Advantage and Medicare Supplement
Colorado,Kaiser Permanente Colorado,"1. Senior Advantage Medicare Medicaid, Core, Silver, Gold and Group"
Colorado,UnitedHealthcare®,1. AARP MedicareComplete SecureHorizons Essential (HMO)
,,2. UnitedHealthcare Dual Complete
,,3. AARP MedicareComplete SecureHorizons Plan 1 (HMO)
,,4. AARP MedicareComplete SecureHorizons Plan 2 (HMO)
Connecticut,Aetna Medicare,1. Aetna Medicare
Connecticut,Anthem Blue Cross and Blue Shield,1. Anthem MediBlue Dual Advantage (HMO SNP)
,,2. Anthem MediBlue ESRD (HMO-POS SNP)
,,"3. Medicare Supplement Plans A, F, G & N"
,,4. Anthem MediBlue Plus (HMO)
,,5. Anthem MediBlue Extra (HMO)
,,6. Anthem MediBlue Select (HMO)
,,"7. Medicare Supplement Plans A, F, G & N"
Connecticut,CarePartners of Connecticut,1. CareAdvantage Preferred
,,2. CareAdvantage Premier
,,3. CareAdvantage Prime
Connecticut,"ConnectiCare, Inc.",1. Choice Plan 1 (HMO)
,,2. Choice Plan 2 (HMO)
,,3. Choice Plan 3 (HMO)
,,4. Individual Plans:
,,5. Passage Plan 1 (HMO)
,,6. Flex Plan 1 (HMO-POS)
,,7. Flex Plan 2 (HMO-POS)
,,8. Flex Plan 3 (HMO-POS)
Connecticut,Humana,1. Medicare Supplement
Connecticut,UnitedHealthcare®,1. AARP MedicareComplete Choice (Regional PPO)
Connecticut,WellCare,1. WellCare Access (HMO SNP)
,,2. WellCare RX (HMO)
,,3. WellCare Value (HMO)
,,4. WellCare Preferred
Delaware,Aetna Medicare,1. Aetna Medicare MAPD*
Delaware,Colonial Penn Medicare Supplement Plan C,1. Medicare Supplement Plan C
Delaware,Humana,1. Medicare Advantage and Medicare Supplement
Delaware,UnitedHealthcare®,1. UnitedHealthcare Dual Complete
District Of Columbia,AARP® Medicare Supplement Insurance Plan,1. AARP® Medicare Supplement Insurance Plan
District Of Columbia,Aetna Medicare,1. Aetna Medicare
District Of Columbia,CareFirst MedPlus,1. Medicare Supplement
District Of Columbia,Humana,1. Medicare Supplement
Florida,Aetna Medicare,1. Aetna Medicare
Florida,AvMed,1. AvMed Medicare Choice
Florida,BayCare,1. BayCarePlus Complete
,,2. BayCarePlus Rewards
Florida,CarePlus,1. CareFree
,,2. CareFree PLUS
,,3. CareNeeds
,,4. CareNeeds PLUS
,,5. CareOne
,,6. CareOne PLUS
Florida,Coventry Health Care,1. Coventry Medicare MAPD*
Florida,"Devoted Health (Starting January 1, 2019)","1. Devoted Health (HMO) Plans (Starting January 1, 2019)"
,,2. Devoted Health Prime (HMO) Plans
Florida,Florida Blue,"1. BlueMedicare Choice, Classic, Classic Plus, Complete, Premier, Preferred, Select, Value"
Florida,Freedom Health,1. Freedom Medicare Rx Plan
,,2. Freedom Medi-Medi Full
,,3. Freedom Medi-Medi Partial
,,4. Freedom Platinum Plan Rx
,,5. Freedom Savings Plan
,,6. Freedom VIP Care
,,7. Freedom VIP Savings
,,8. Freedom VIP Savings (COPD)
,,9. Freedom Platinum Rewards Plan Rx
Florida,HealthSun Health Plans,1. HealthAdvantage Plan (HMO)
,,2. MediMax Plan (HMO)
,,3. SunPlus Advantage Plan (HMO)
Florida,Humana,1. Medicare Advantage and Medicare Supplement
Florida,Optimum HealthCare,1. Optimum Diamond Rewards
,,2. Optimum Diamond Rewards (COPD)
,,3. Optimum Emerald Full
,,4. Optimum Emerald Partial
,,5. Optimum Gold Plus
,,6. Optimum Gold Rewards
,,7. Optimum Platinum
Florida,"Simply Healthcare Plans, Inc.",1. Simply More (HMO)
,,2. Simply Complete (HMO SNP)
,,3. Simply Level (HMO SNP)
,,4. Simply Advantage (HMO SNP)
,,5. Simply Care (HMO SNP)
,,6. Simply Comfort (HMO SNP)
,,7. Simply Select (HMO)
Florida,"Ultimate Health Plans, Inc.",1. Ultimate Premier and Ultimate Premier Plus
Florida,WellCare,1. WellCare Access (HMO SNP)
,,2. WellCare Dividend (HMO POS)
,,3. WellCare Dividend (HMO)
,,4. WellCare Essential (HMO POS)
,,5. WellCare Liberty (HMO SNP)
,,6. WellCare Select (HMO SNP)
,,7. WellCare Value (HMO POS)
,,8. WellCare Premier (PPO)
,,9. WellCare Value (HMO)
Georgia,AARP® Medicare Supplement Insurance Plan,1. AARP® Medicare Supplement Insurance Plan
Georgia,Aetna Medicare,1. Aetna Medicare
Georgia,Anthem Blue Cross and Blue Shield,1. Anthem MediBlue Access (PPO)
,,2. Anthem MediBlue Access Basic (PPO)
,,3. Anthem MediBlue Dual Advantage (HMO SNP)
,,4. Anthem MediBlue Essential (HMO)
,,5. Anthem MediBlue Plus (HMO)
,,"6. Medicare Supplement Plans A, F, G & N"
Georgia,Clover Health,1. Clover Health Choice (PPO)
,,2. Clover Health Choice Plus (PPO)
,,3. Green (PPO)
Georgia,Colonial Penn Medicare Supplement Plan C,1. Medicare Supplement Plan C
Georgia,Coventry Health Care,1. Coventry Medicare MAPD*
Georgia,Eon Health,1. Eon Health
Georgia,Humana,1. Medicare Advantage and Medicare Supplement
Georgia,Kaiser Foundation Health Plan of Georgia,1. Kaiser Permanente Senior Advantage (HMO) Basic Plan
,,2. Kaiser Permanente Senior Advantage (HMO) Group Plan
,,3. Kaiser Permanente Senior Advantage (HMO)Enhanced Plan
Georgia,UnitedHealthcare®,1. AARP MedicareComplete Plus Plan 1
,,2. AARP MedicareComplete Plan 1 (HMO)
,,3. AARP MedicareComplete Plus Plan 2
,,4. AARP Medicare Complete Plan 2 (HMO)
,,5. UnitedHealthcare Dual Complete (PPO SNP)
,,6. UnitedHealthcare Dual Complete (HMO-POS SNP)
,,7. AARP MedicareComplete Plan 2 (HMO)
Georgia,WellCare,1. WellCare Access (HMO SNP)
,,2. WellCare Essential (HMO POS)
,,3. WellCare Advance (HMO-POS)
,,4. WellCare Premier (PPO)
,,5. WellCare Prime (PPO)
,,6. WellCare Liberty (HMO SNP)
,,7. WellCare Value (HMO)
Hawaii,Humana,1. Medicare Advantage and Medicare Supplement
Hawaii,UnitedHealthcare®,1. AARP MedicareComplete Choice Plan 1 (PPO)
,,2. AARP MedicareComplete Choice Plan 2
,,3. AARP Medicare Complete Choice
,,4. UnitedHealthcare Dual Complete (PPO SNP)
,,5. AARP MedicareComplete Choice Essential (PPO)
,,6. UnitedHealthcare Dual Complete RP (Regional PPO SNP)
Idaho,Aetna Medicare,1. Aetna Medicare
Idaho,Humana,1. Medicare Advantage and Medicare Supplement
Idaho,UnitedHealthcare®,1. AARP MedicareComplete
,,2. AARP MedicareComplete Choice (PPO)
,,3. AARP MedicareComplete Choice Plan 2 (PPO)
,,4. UnitedHealthcare MedicareComplete Assure
Illinois,Aetna Medicare,1. Aetna Medicare
Illinois,BlueCross BlueShield of Illinois,1. Blue Cross Medicare Advantage Basic (HMO)
,,2. Blue Cross Medicare Advantage Basic Plus (HMO-POS)
,,3. Blue Cross Medicare Advantage Choice Plus (PPO)
,,4. Blue Cross Medicare Advantage Choice Premier (PPO)
,,5. Blue Cross Medicare Advantage Elite (HMO-POS)
Illinois,Colonial Penn Medicare Supplement Plan C,1. Medicare Supplement Plan C
Illinois,"Community Care Alliance of Illinois, NFP",1. Community Advantage (HMO)
,,2. Community Flex-Plan (HMO-POS)
Illinois,Coventry Health Care,1. Advantra (PPO)
,,2. Advantra Connect Plus (PPO)
,,"3. Advantra Option 1 (HMO), Advantra Option 2 (HMO POS), Advantra (PPO), and Gold Advantage (HMO)"
,,4. Advantra Value (PPO)
Illinois,Humana,1. Medicare Advantage and Medicare Supplement
Indiana,Aetna Medicare,1. Aetna Medicare
Indiana,Anthem Blue Cross and Blue Shield,1. Anthem MediBlue Access (PPO)
,,2. Anthem MediBlue Access Plus (PPO)
,,3. Anthem MediBlue Access Basic (Regional PPO)
,,4. Anthem MediBlue Dual Advantage (HMO SNP)
,,5. Anthem MediBlue Extra (HMO)
,,6. Anthem MediBlue Plus (HMO)
Indiana,Humana,1. Medicare Advantage and Medicare Supplement
Iowa,Colonial Penn Medicare Supplement Plan C,1. Medicare Supplement Plan C
Iowa,Coventry Health Care,1. Advantra Elite (PPO)
,,2. Advantra Platinum (PPO)
,,3. Advantra Silver (HMO)
,,4. Total Care (PPO)
Iowa,Humana,1. Medicare Advantage and Medicare Supplement
Iowa,Medica,1. Medica Prime Solution®
Kansas,Blue Cross and Blue Shield of Kansas City (Blue KC),1. Blue Medicare Advantage Access (PPO)
,,2. Blue Medicare Advantage Plus (HMO)
,,3. Blue Medicare Advantage
,,4. Blue Medicare Advantage Complete (HMO)
Kansas,Coventry Health Care,1. Coventry Medicare MAPD*
Kansas,Humana,1. Medicare Advantage and Medicare Supplement
Kentucky,Aetna Medicare,1. Aetna Medicare
Kentucky,Anthem Blue Cross and Blue Shield,1. Anthem MediBlue Access (PPO)
,,2. Anthem MediBlue Access Basic (Regional PPO)
,,3. Anthem MediBlue Dual Advantage (HMO SNP)
,,4. Anthem MediBlue Plus (HMO)
,,"5. Medicare Supplement Plans A, F, Select F, Innovative F, Innovative Select F, G, Select G, N & Select N"
Kentucky,Humana,1. Medicare Advantage and Medicare Supplement
Kentucky,Mutual of Omaha,1. CareAdvantage Complete
,,2. CareAdvantage Plus
Louisiana,Aetna Medicare,1. Aetna Medicare
Louisiana,Coventry Health Care,1. Coventry Medicare MAPD*
Louisiana,Humana,1. Medicare Advantage and Medicare Supplement
Louisiana,UnitedHealthcare®,1. AARP MedicareComplete Plan 1
,,2. AARP MedicareComplete Plan 2
,,3. UnitedHealthcare Dual Complete (HMO SNP)
Louisiana,Vantage,1. Medicare Advantage
Maine,Aetna Medicare,1. Aetna Medicare
Maine,Anthem Blue Cross and Blue Shield,1. Anthem MediBlue Access (PPO)
,,2. Anthem MediBlue Choice (HMO-POS)
,,3. Anthem MediBlue Dual Advantage (HMO SNP)
,,4. Anthem MediBlue Plus (HMO)
,,"5. Medicare Supplement Plans A, F & N"
Maine,Humana,1. Medicare Advantage and Medicare Supplement
Maine,UnitedHealthcare®,1. UnitedHealthCare Dual Complete
,,2. AARP MedicareComplete Choice Plan 1 (PPO)
,,3. AARP MedicareComplete Choice (Regional PPO)
,,4. AARP Medicare Complete Choice Plan 2 (PPO)
Maine,WellCare,1. WellCare Todays Option Premier 200
,,2. WellCare Todays Option Premier 300
Maryland,Aetna Medicare,1. Aetna Medicare
Maryland,CareFirst MedPlus,1. Medicare Supplement
Maryland,Colonial Penn Medicare Supplement Plan C,1. Medicare Supplement Plan C
Maryland,Humana,1. Medicare Advantage and Medicare Supplement
Massachusetts,Aetna Medicare,1. Aetna Medicare
Massachusetts,Fallon Health,1. NaviCare® HMO SNP and NaviCare® SCO
Massachusetts,Fallon Health Weinberg,1. Fallon Health Weinberg-HMO SNP
Massachusetts,Humana,1. Medicare Supplement
Massachusetts,Tufts Health Plan Medicare Preferred,1. Tufts Health Plan Medicare Preferred
Massachusetts,UnitedHealthcare®,1. AARP MedicareComplete Plan 1
,,2. AARP MedicareComplete Plan 2
,,3. AARP MedicareComplete Plan 3
,,4. AARP MedicareComplete Choice (Regional PPO)
Michigan,Aetna Better Health of Michigan ,1. Aetna Better Health Premier Plan
Michigan,Aetna Medicare,1. Aetna Medicare
Michigan,Blue Cross Blue Shield of Michigan,"1. BCN Advantage HMO Basic, Classic, ConnectedCare, MyChoice Wellness, Healthy Saver, Healthy Value, Prestige"
,,"2. Medicare Plus Blue  PPO Assure, Essential, Group, Signature, Vitality"
Michigan,Humana,1. Medicare Advantage and Medicare Supplement
Michigan,Paramount Elite,1. Paramount Elite (HMO)
,,2. Paramount Elite Enhanced Medical & Drug (HMO)
,,3. Paramount Elite Enhanced Medical Only (HMO)
,,4. Paramount Elite Prime Medical & Drug (HMO)
,,5. Paramount Elite Standard Medical & Drug (HMO)
Minnesota,Allina Health ,1. Allina Health Aetna Medicare Discover Elite (PPO)
,,2. Allina Health Aetna Medicare Discover Grand (PPO)
,,3. Allina Health Aetna Medicare Discover Plus (PPO)
,,4. Allina Health Aetna Medicare Discover Premier (PPO)
Minnesota,Humana,1. Medicare Advantage and Medicare Supplement
Minnesota,Medica,1. Medica Advantage Solution®
,,2. Medica DUAL Solution®
,,3. Medica Group Prime Solution
,,4. Medica Prime Solution®
,,5. Medica Signature Solution
Minnesota,UCare,1. EssentiaCare
,,2. Minnesota Senior Health Options
,,3. UCare Connect (SNBC)
,,4. UCare Connect + Medicare (HMO SNP)
,,5. UCare Medicare (HMO POS)
,,6. UCare Medicare Group (HMO POS)
,,7. UCare Medicare with Fairview & North Memorial (HMO POS)
Mississippi,Aetna Medicare,1. Aetna Medicare
Mississippi,Humana,1. Medicare Advantage and Medicare Supplement
Missouri,Anthem Blue Cross and Blue Shield,1. Anthem MediBlue Access (PPO)
,,2. Anthem MediBlue Dual Advantage (HMO SNP)
,,3. Anthem MediBlue Access Basic (PPO)
,,4. Anthem Medicare Preferred Core (PPO)
,,5. Anthem MediBlue Plus (HMO)
,,"6. Medicare Supplement Plans A, F, G & N"
Missouri,Blue Cross and Blue Shield of Kansas City (Blue KC),1. Blue Medicare Advantage Access (PPO)
,,2. Blue Medicare Advantage Plus (HMO)
,,3. Blue Medicare Advantage
,,4. Blue Medicare Advantage Complete (HMO)
Missouri,Coventry Health Care,1. Advantra (PPO)
,,2. Advantra Advantage (HMO)
,,3. Advantra Freedom (PPO)
,,4. Advantra Freedom Plus (PPO)
,,5. Advantra Option 1 (HMO-POS)
,,6. Advantra Option 2 (HMO)
,,7. Advantra Select Plus (HMO)
,,8. Coventry Advantage (HMO)
,,9. Coventry Advantage Plus (HMO-POS)
